region,model1-lh,model1-rh,model2-lh,model2-rh
bankssts,A,A,A,A
caudalanteriorcingulate,C,A,C,A
caudalmiddlefrontal,B,A,B,B
cuneus,A,B,A,C
entorhinal,B,C,B,B
frontalpole,C,B,C,C
fusiform,A,B,A,A
inferiorparietal,B,C,B,B
inferiortemporal,C,B,C,A
insula,A,A,A,C
isthmuscingulate,A,C,A,C
lateraloccipital,A,A,C,B
lateralorbitofrontal,C,C,B,A
lingual,B,A,B,C
medialorbitofrontal,C,C,C,B
middletemporal,A,A,B,C
paracentral,B,C,A,A
parahippocampal,A,C,C,C
parsopercularis,C,A,A,B
parsorbitalis,C,B,C,C
parstriangularis,B,C,C,C
pericalcarine,A,A,A,A
postcentral,A,A,A,A
posteriorcingulate,B,A,B,A
precentral,C,C,C,C
precuneus,A,A,A,A
rostralanteriorcingulate,B,A,B,B
rostralmiddlefrontal,C,C,C,C
superiorfrontal,B,B,B,A
superiorparietal,B,C,B,B
superiortemporal,C,B,C,B
supramarginal,A,A,A,A
temporalpole,C,A,C,A
transversetemporal,A,C,A,C
